ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
03N,small_airport,Utirik Airport,11.22200012,169.852005,4,OC,MH,MH-UTI,Utirik Island,03N,UTK,03N
0CO2,small_airport,Buckhorn Ranch Airport,38.85189819,-106.93282,8980,NA,US,US-CO,Crested Butte,0CO2,CSE,0CO2
0TE7,small_airport,LBJ Ranch Airport,30.25180054,-98.62249756,1515,NA,US,US-TX,Johnson City,0TE7,JCY,0TE7
13MA,small_airport,Metropolitan Airport,42.22330093,-72.31140137,418,NA,US,US-MA,Palmer,13MA,PMX,13MA
13Z,seaplane_base,Loring Seaplane Base,55.60129929,-131.6369934,0,NA,US,US-AK,Loring,13Z,WLR,13Z
16A,small_airport,Nunapitchuk Airport,60.90579987,-162.4389954,12,NA,US,US-AK,Nunapitchuk,16A,NUP,16A
19AK,small_airport,Icy Bay Airport,59.96900177,-141.6620026,50,NA,US,US-AK,Icy Bay,19AK,ICY,19AK
1KC,small_airport,Kalakaket Creek AS Airport,64.4166257,-156.8203926,1598,NA,US,US-AK,Kalakaket Creek,1KC,KKK,1KC
2AK,small_airport,Lime Village Airport,61.35910034,-155.4400024,552,NA,US,US-AK,Lime Village,2AK,LVD,2AK
2AK3,heliport,Five Finger CG Heliport,57.26990128,-133.6309967,48,NA,US,US-AK,Five Finger,2AK3,FIV,2AK3
2AK6,small_airport,Hog River Airport,66.2161026,-155.6690063,534,NA,US,US-AK,Hogatza,2AK6,HGZ,2AK6
2Z6,seaplane_base,False Island Seaplane Base,57.53219986,-135.2129974,,NA,US,US-AK,False Island,2Z6,FAK,2Z6
38WA,small_airport,Blakely Island Airport,48.57899857,-122.8259964,66,NA,US,US-WA,Blakely Island,38WA,BYW,38WA
3AK5,small_airport,Drift River Airport,60.58890152,-152.1620026,30,NA,US,US-AK,Kenai,3AK5,DRF,3AK5
3IS8,small_airport,Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,808,NA,US,US-IL,Bradford,3IS8,BDF,3IS8
3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,59.74700165,-158.875,91,NA,US,US-AK,Golden Horn Lodge,3Z8,GDH,3Z8
4A2,small_airport,Atmautluak Airport,60.86669922,-162.272995,17,NA,US,US-AK,Atmautluak,4A2,ATT,4A2
4AK,small_airport,Livengood Camp Airport,65.467,-148.6534,425,NA,US,US-AK,Livengood,4AK,LIV,4AK
4K0,small_airport,Pedro Bay Airport,59.78960037,-154.1239929,45,NA,US,US-AK,Pedro Bay,4K0,PDB,4K0
4K5,small_airport,Ouzinkie Airport,57.92290115,-152.5010071,55,NA,US,US-AK,Ouzinkie,4K5,KOZ,4K5
4TE8,closed,Ben Bruce Memorial Airpark,30.32099915,-94.07350159,44,NA,US,US-TX,Evadale,4TE8,EVA,4TE8
4W6,closed,Blaine Municipal Airport,48.99010086,-122.7320023,75,NA,US,US-WA,Blaine,4W6,BWS,4W6
4Z7,seaplane_base,Hyder Seaplane Base,55.9033244,-130.0099754,,NA,US,US-AK,Hyder,4Z7,WHD,4Z7
57A,seaplane_base,Tokeen Seaplane Base,55.93709946,-133.3269959,,NA,US,US-AK,Tokeen,57A,TKI,57A
5A8,medium_airport,Aleknagik / New Airport,59.2826004,-158.6179962,66,NA,US,US-AK,Aleknagik,5A8,WKK,5A8
5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.34989929,-131.677002,0,NA,US,US-AK,Ketchikan,5KE,WFB,5KE
65GA,closed,Fort Gillem Heliport,33.61500168,-84.3463974,966,NA,US,US-GA,Fort Gillem,65GA,FOP,65GA
65LA,small_airport,Southern Seaplane Airport,29.86610031,-90.02220154,,NA,US,US-LA,Belle Chasse,65LA,BCS,65LA
6CA3,heliport,Catalina Air-Sea Terminal Heliport,33.74919891,-118.2750015,5,NA,US,US-CA,San Pedro,6CA3,SPQ,6CA3
6N5,heliport,East 34th Street Heliport,40.74259949,-73.9720993,10,NA,US,US-NY,New York,6N5,TSS,6N5
6N7,seaplane_base,New York Skyports Inc Seaplane Base,40.73400116,-73.97290039,0,NA,US,US-NY,New York,6N7,QNY,6N7
6OK6,small_airport,Earl Henry Airport,36.79589844,-97.31700134,1054,NA,US,US-OK,Blackwell,6OK6,BWL,6OK6
78K,seaplane_base,Yes Bay Lodge Seaplane Base,55.91630173,-131.8009949,,NA,US,US-AK,Yes Bay,78K,WYB,78K
78WA,small_airport,Center Island Airport,48.49010086,-122.8320007,115,NA,US,US-WA,Center Island,78WA,CWS,78WA
7KA,small_airport,Tatitlek Airport,60.8689003,-146.6860046,62,NA,US,US-AK,Tatitlek,,TEK,7KA
7NC2,small_airport,Pine Island Airport,36.25350189,-75.78849792,16,NA,US,US-NC,Corolla,7NC2,DUF,7NC2
82CL,small_airport,Fort Bragg Airport,39.47430038,-123.7959976,71,NA,US,US-CA,Fort Bragg,82CL,FOB,82CL
84CL,heliport,Century City Heliport,34.06079865,-118.4179993,473,NA,US,US-CA,Los Angeles,84CL,CCD,84CL
84K,seaplane_base,Meyers Chuck Seaplane Base,55.73960114,-132.2550049,0,NA,US,US-AK,Meyers Chuck,84K,WMK,84K
90WA,small_airport,Waldronaire Airport,48.71179962,-123.0179977,140,NA,US,US-WA,East Sound,90WA,WDN,90WA
96Z,seaplane_base,North Whale Seaplane Base,56.11629868,-133.121994,,NA,US,US-AK,North Whale Pass,96Z,WWP,96Z
9A3,small_airport,Chuathbaluk Airport,61.57910156,-159.2160034,244,NA,US,US-AK,Chuathbaluk,PACH,CHU,9A3
9Z8,small_airport,Levelock Airport,59.12810135,-156.8589935,39,NA,US,US-AK,Levelock,9Z8,KLL,9Z8
A23,seaplane_base,Saginaw Seaplane Base,56.88629913,-134.1580048,0,NA,US,US-AK,Saginaw Bay,A23,SGW,A23
A61,small_airport,Tuntutuliak Airport,60.33530045,-162.6670074,16,NA,US,US-AK,Tuntutuliak,A61,WTL,A61
A79,small_airport,Chignik Lake Airport,56.25500107,-158.7749939,50,NA,US,US-AK,Chignik Lake,A79,KCQ,A79
ABP,small_airport,Atkamba Airport,-6.065555556,141.0952778,150,OC,PG,PG-WPD,Atkamba Mission,,ABP,AKA
AD-ALV,heliport,Andorra la Vella Heliport,42.50049973,1.517120004,3450,EU,AD,AD-07,Andorra La Vella,,ALV,
ADC,small_airport,Andakombe Airport,-7.137222222,145.7447222,3600,OC,PG,PG-EHG,Andekombe,AYAN,ADC,ADK
ADV,small_airport,El Daein Airport,11.4023,26.1186,1560,AF,SD,SD-DE,El Daein,,ADV,
AEE,small_airport,Adareil Airport,10.05361111,32.95944444,1301,AF,SS,SS-23,,,AEE,
AEI,heliport,Algeciras Heliport,36.12888034,-5.441118479,98,EU,ES,ES-CA,Algeciras,LEAG,AEI,AEI
AEK,small_airport,Aseki Airport,-7.350804856,146.1938667,4106,OC,PG,PG-MPL,Aseki,AYAX,AEK,ASE
AF10,small_airport,Orūzgān Airport,32.90299988,66.63089752,6725,AS,AF,AF-ORU,Orūzgān,OARG,URZ,
AF11,small_airport,Salerno Landing Zone Airport,33.36380005,69.95610046,3780,AS,AF,AF-PIA,,,OLR,
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,7.284,81.644,95,AS,LK,LK-5,Ampara,,AFK,
AFR,small_airport,Afore Airstrip,-9.142222222,148.3908333,2500,OC,PG,PG-NPP,,AYAF,AFR,AFE
AGAF,small_airport,Afutara Aerodrome,-9.191388889,160.9486111,23,OC,SB,SB-ML,Bila,AGAF,AFT,
AGAR,small_airport,Ulawa Airport,-9.860543583,161.9795465,40,OC,SB,SB-MK,Arona,AGAR,RNA,
AGAT,small_airport,Uru Harbour Airport,-8.873330116,161.0110016,,OC,SB,SB-ML,Atoifi,AGAT,ATD,
AGBA,small_airport,Barakoma Airport,-7.912779808,156.7059937,,OC,SB,SB-WE,Barakoma,AGBA,VEV,
AGEV,small_airport,Geva Airport,-7.575829983,156.5970001,,OC,SB,SB-WE,Liangia,AGEV,GEF,
AGG,small_airport,Angoram Airport,-4.055833333,144.0738889,75,OC,PG,PG-ESW,Angoram,,AGG,ANG
AGGA,small_airport,Auki Airport,-8.702569962,160.6820068,5,OC,SB,SB-ML,Auki,AGGA,AKS,
AGGB,small_airport,Bellona/Anua Airport,-11.30222222,159.7983333,60,OC,SB,SB-RB,Anua,AGGB,BNY,
AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,OC,SB,SB-CH,,AGGC,CHY,
AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5,OC,SB,SB-WE,Ballalae,AGGE,BAS,
AGGF,small_airport,Fera/Maringe Airport,-8.107500076,159.5769958,,OC,SB,SB-IS,Fera Island,AGGF,FRE,
AGGH,medium_airport,Honiara International Airport,-9.42800045,160.0549927,28,OC,SB,SB-CT,Honiara,AGGH,HIR,
AGGI,small_airport,Babanakira Airport,-9.74750042,159.8390045,,OC,SB,SB-GU,Mbambanakira,AGGI,MBU,
AGGJ,small_airport,Avu Avu Airport,-9.868333333,160.4105556,25,OC,SB,SB-GU,,AGGJ,AVU,
AGGK,small_airport,Ngorangora Airport,-10.44970036,161.897995,54,OC,SB,SB-MK,Kirakira,AGGK,IRA,
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972,165.7949982,18,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,AGGL,SCZ,
AGGM,medium_airport,Munda Airport,-8.327969551,157.2630005,10,OC,SB,SB-WE,,AGGM,MUA,
AGGN,small_airport,Nusatupe Airport,-8.097780228,156.8639984,13,OC,SB,SB-WE,Gizo,AGGN,GZO,
AGGO,small_airport,Mono Airport,-7.416940212,155.5650024,,OC,SB,SB-WE,Stirling Island,AGGO,MNY,
AGGP,small_airport,Parasi Airport,-9.641670227,161.4250031,,OC,SB,SB-ML,Parasi,AGGP,PRS,
AGGQ,closed,Ontong Java Atoll Airstrip,-5.515,159.5277778,10,OC,SB,SB-ML,Ontong Java Atoll,AGGQ,OTV,
AGGR,small_airport,Rennell/Tingoa Airport,-11.53390026,160.0630035,,OC,SB,SB-RB,Rennell Island,AGGR,RNL,
AGGS,small_airport,Sege Airport,-8.578889847,157.8760071,,OC,SB,SB-WE,Sege,AGGS,EGM,
AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,3,OC,SB,SB-MK,Santa Ana Island,AGGT,NNB,
AGGU,small_airport,Marau Airport,-9.86166954,160.8249969,,OC,SB,SB-GU,Marau,AGGU,RUS,
AGGV,small_airport,Suavanao Airport,-7.585559845,158.7310028,,OC,SB,SB-IS,Suavanao,AGGV,VAO,
AGGY,small_airport,Yandina Airport,-9.092816,159.21841,60,OC,SB,SB-CE,Yandina,AGGY,XYA,
AGK,small_airport,Kagua Airport,-6.396388889,143.8536111,5350,OC,PG,PG-SHM,Kagua,,AGK,
AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30,OC,SB,SB-CH,Kagau Island,AGKG,KGE,
AGKU,small_airport,Kukudu Airport,-8.0262,156.94783,32,OC,SB,SB-WE,Kolombangara Island,AGKU,KUE,
AGKW,small_airport,Kwailabesi Airport,-8.360508,160.775127,52,OC,SB,SB-ML,Kwailabesi,AGKW,KWS,
AGL,small_airport,Wanigela Airport,-9.3375,149.1555556,53,OC,PG,PG-NPP,,AYWG,AGL,WGL
AGNA,small_airport,Nana Airport,-10.6758,162.2049,60,OC,SB,SB-MK,Star Harbor,AGNA,NAZ,
AGRC,small_airport,Ringi Cove Airport,-8.126390457,157.1430054,,OC,SB,SB-WE,Ringi Cove,AGRC,RIN,
AGRM,small_airport,Ramata Airport,-8.168060303,157.6430054,,OC,SB,SB-WE,Ramata,AGRM,RBV,
AGTI,heliport,Tulaghi Heliport,-9.108,160.1491667,3,OC,SB,SB-CE,Tulaghi Island,AGTI,TLG,
AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224,11600,AS,CN,CN-51,Aba,,AHJ,
AHT,closed,Amchitka Army Airfield,51.37777778,179.2591667,215,NA,US,US-AK,Amchitka Island,PAHT,AHT,
AHY,small_airport,Ambatolhy Airport,-20.01583333,45.535,340,AF,MG,MG-U,Ambatolahy,,AHY,
AIE,small_airport,Aiome Airport,-5.145699978,144.7307003,350,OC,PG,PG-MPM,Aiome,AYAO,AIE,AIO
AIH,small_airport,Aiambak Airport,-7.342777778,141.2675,90,OC,PG,PG-WPD,Aiambak,AYAK,AIH,AMB
AIP,small_airport,Ailinglaplap Airport,7.279421592,168.8257,16,OC,MH,MH-ALL,Bigatyelang Island,,AIP,
AK13,small_airport,Chena Hot Springs Airport,65.05180359,-146.0469971,1195,NA,US,US-AK,Chena Hot Springs,AK13,CEX,AK13
AK33,small_airport,Herendeen Bay Airport,55.80139923,-160.8990021,20,NA,US,US-AK,Herendeen Bay,AK33,HED,AK33
AK49,small_airport,Taylor Airport,65.6792984,-164.798996,440,NA,US,US-AK,Taylor,AK49,TWE,AK49
AK56,seaplane_base,Tikchik Lodge Seaplane Base,59.96319962,-158.477005,304,NA,US,US-AK,Tikchik,AK56,KTH,AK56
AK62,seaplane_base,Naukati Bay Seaplane Base,55.84960175,-133.2279968,,NA,US,US-AK,Tuxekan Island,AK62,WNC,AK62
AK71,small_airport,Lonely Air Station,70.91069794,-153.2420044,17,NA,US,US-AK,Lonely,PALN,LNI,AK71
AK75,small_airport,Candle 2 Airport,65.90769959,-161.9259949,15,NA,US,US-AK,Candle,AK75,CDL,AK75
AK81,seaplane_base,Amook Bay Seaplane Base,57.4715004,-153.8150024,,NA,US,US-AK,Amook Bay,AK81,AOS,AK81
AK96,small_airport,Bartletts Airport,58.21620178,-157.352005,50,NA,US,US-AK,Egegik,AK96,BSZ,AK96
AK97,small_airport,Boswell Bay Airport,60.42309952,-146.1459961,230,NA,US,US-AK,Boswell Bay,AK97,BSW,AK97
AKM,small_airport,Zakuoma Airport,10.89027778,19.81722222,1370,AF,TD,TD-SA,ZaKouma,,AKM,
AL73,small_airport,Sharpe Field,32.4919014,-85.77559662,253,NA,US,US-AL,Tuskegee,AL73,TGE,AL73
ALZ,seaplane_base,Alitak Seaplane Base,56.8995018,-154.2480011,,NA,US,US-AK,Lazy Bay,,ALZ,ALZ
AME,small_airport,Alto Molocue Airport,-15.61027778,37.68138889,1950,AF,MZ,MZ-Q,Alto Molocue,,AME,
AMF,small_airport,Ama Airport,-4.101111111,141.67,145,OC,PG,PG-ESW,,AYAA,AMF,AMA
AMU,small_airport,Amanab Airport,-3.586,141.2143333,1307,OC,PG,PG-SAN,Amanab,AYAM,AMU,ANA
AMY,small_airport,Ambatomainty Airport,-17.68666667,45.62388889,1025,AF,MG,MG-M,,,AMY,
ANH,closed,Anuha Island Resort Airport,-9.001388889,160.225,22,OC,SB,SB-CE,Anhua Island,,ANH,
ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22,OC,NR,NR-14,Yaren District,ANYN,INU,
ANZ,small_airport,Angus Downs Airport,-25.0325,132.2748,1724,OC,AU,AU-NT,Angus Downs Station,,ANZ,
AO-0005,small_airport,Andulo Airport,-11.47229958,16.71089935,,AF,AO,AO-BIE,,,ANL,
AO-CNZ,small_airport,Cangamba Airport,-13.7105999,19.86109924,,AF,AO,AO-MOX,Cangamba,,CNZ,
AO-DRC,small_airport,Dirico Airport,-17.98192406,20.76806068,3504,AF,AO,AO-CCU,Dirico,,DRC,
AO-GGC,small_airport,Lumbala Airport,-12.63987732,22.5868206,3510,AF,AO,AO-MOX,Lumbala,,GGC,
AO-JMB,small_airport,Jamba Airport,-14.6981926,16.07014847,4912,AF,AO,AO-HUA,Jamba,,JMB,
AO-KNP,small_airport,Capanda Airport,-9.769370079,15.4553194,3366,AF,AO,AO-MAL,Capanda,FNCP,KNP,
AO-NDF,small_airport,Ndalatandos Airport,-9.275188446,14.97724247,2684,AF,AO,AO-CNO,Ndalatandos,,NDF,
AOA,closed,Aroa Airport,-9.0254,146.8,20,OC,PG,PG-CPM,Agevairu,,AOA,
AOB,small_airport,Annanberg Airport,-4.904166667,144.6358333,130,OC,PG,PG-MPM,,,AOB,ANB
AOD,small_airport,Abou-Deïa Airport,11.4773,19.2874,1592,AF,TD,TD-SA,Abou-Deïa,,AOD,
APP,small_airport,Asapa Airport,-8.979166667,148.1036111,1930,OC,PG,PG-NPP,,,APP,APA
APR,small_airport,April River Airport,-4.676666667,142.5401389,220,OC,PG,PG-ESW,April River,AYPE,APR,APR
AQY,small_airport,Girdwood Airport,60.96609879,-149.1260071,150,NA,US,US-AK,Girdwood,AQY,AQY,AQY
AR-0005,small_airport,Bragado Airport,-35.144,-60.4803,196,SA,AR,AR-B,Bragado,,QRF,BRA
AR-0006,closed,[Duplicate] Brigadier Hector Ruiz Airport,-37.43330002,-61.88330078,228,SA,AR,AR-B,Coronel Suarez,,CSZ,
AR-0007,small_airport,Caleta Olivia Airport,-46.43180084,-67.51860046,37,SA,AR,AR-Z,Caleta Olivia,,CVI,CAO
AR-0009,small_airport,Charata Airport,-27.2164,-61.2103,318,SA,AR,AR-H,Charata,,CNT,CHA
AR-0010,small_airport,General Villegas Airport,-35,-63,383,SA,AR,AR-B,General Villegas,,VGS,GAS
AR-0011,small_airport,Los Menucos Airport,-40.81769943,-68.0746994,2571,SA,AR,AR-R,Los Menucos,,LMD,
AR-0015,closed,Saenz Peña Airport,-26.81579971,-60.44829941,20,SA,AR,AR-H,Presidencia Roque Sáenz Peña,,SZQ,
AR-0017,small_airport,Valcheta Airport,-40.70000076,-66.15000153,629,SA,AR,AR-R,Valcheta,,VCF,VAL
AR-0018,small_airport,Villa Mercedes Airport,-33.63499832,-65.41870117,1689,SA,AR,AR-D,Villa Mercedes,,VME,
AR-0346,small_airport,Sunchales Aeroclub Airport,-30.9575,-61.5283,311,SA,AR,AR-S,Sunchales,SAFS,NCJ,SCA
AR-0390,small_airport,Carmen De Patagones Airport,-40.7781,-62.9803,131,SA,AR,AR-B,Carmen de Patagones,,CPG,PAT
AR-0462,small_airport,Termal Airport,-26.75361061,-60.49222183,308,SA,AR,AR-H,Presidencia Roque Sáenz Peña,SARS,PRQ,
AR-0494,small_airport,Colonia Sarmiento Airport,-45.582371,-68.999841,877,SA,AR,AR-U,Sarmiento,,OLN,STO
ARP,small_airport,Aragip Airport,-9.883333333,149.4833333,1750,OC,PG,PG-MBA,,,ARP,AGP
ARX,closed,Asbury Park Neptune Air Terminal,40.21930556,-74.09083333,95,NA,US,US-NJ,Asbury Park,,ARX,
AS-TAV,small_airport,Tau Airport,-14.22920036,-169.5110016,185,OC,AS,AS-U-A,Tau Village,,TAV,HI36
ASZ,small_airport,Asirim Airport,-6.009722222,150.3686111,1050,OC,PG,PG-WBK,,,ASZ,ASM
ATN,small_airport,Namatanai Airport,-3.6695,152.438,150,OC,PG,PG-NIK,Namatanai,AYNX,ATN,NTI
ATP,small_airport,Aitape Airport,-3.143611111,142.3468056,10,OC,PG,PG-SAN,Aitape,AYAI,ATP,APE
AU-0056,closed,[Duplicate] Milyakburra Airport,-13.78083333,136.2016667,85,OC,AU,AU-U-A,Bickerton Island,,BCZ,YBIC
AU-0081,small_airport,Lady Elliot Island Airstrip,-24.1129,152.7156,20,OC,AU,AU-QLD,Lady Elliot Island,,LYT,
AU-AGW,small_airport,Agnew Airport,-12.14560032,142.1490021,,OC,AU,AU-QLD,Agnew,,AGW,
AU-AYD,small_airport,Alroy Downs Airport,-19.29080009,136.0789948,,OC,AU,AU-NT,Alroy Downs,,AYD,
AU-BCK,closed,[Duplicate] Bolwarra Airport,-17.38829994,144.1690063,,OC,AU,AU-QLD,Bolwarra,,BCK,
AU-BFC,closed,[Duplicate] Bloomfield Airport,-15.87360001,145.3300018,66,OC,AU,AU-QLD,Bloomfield,,BFC,
AU-BVW,closed,[Duplicate] Batavia Downs Airport,-12.65919971,142.6750031,,OC,AU,AU-QLD,Batavia Downs,,BVW,
AU-BYX,small_airport,Baniyala Airport,-13.19810009,136.227005,20,OC,AU,AU-NT,Baniyala,,BYX,
AU-COB,small_airport,Coolibah Airport,-15.54829979,130.9620056,,OC,AU,AU-NT,Coolibah,,COB,
AU-CQP,closed,[Duplicate] Cape Flattery Airport,-14.97099972,145.3110046,,OC,AU,AU-QLD,Cape Flattery,,CQP,
AU-CRJ,small_airport,Coorabie Airport,-31.89439964,132.2960052,,OC,AU,AU-SA,Coorabie,,CRJ,
AU-CRY,small_airport,Carlton Hill Airport,-15.50189972,128.5339966,,OC,AU,AU-WA,Carlton Hill,,CRY,
AU-CSD,small_airport,Cresswell Downs Airport,-17.94799995,135.9160004,,OC,AU,AU-NT,Cresswell Downs,,CSD,
AU-CTR,closed,[Duplicate] Cattle Creek Airport,-17.60700035,131.548996,,OC,AU,AU-NT,Cattle Creek,,CTR,
AU-DYM,small_airport,Diamantina Lakes Airport,-23.76169968,141.1450043,,OC,AU,AU-QLD,Diamantina Lakes,,DYM,
AU-EDD,closed,[Duplicate] Erldunda Airport,-25.2057991,133.2539978,,OC,AU,AU-NT,Erldunda,,EDD,
AU-EKD,closed,[Duplicate] Elkedra Airport,-21.17250061,135.4440002,,OC,AU,AU-NT,Elkedra,YELK,EKD,
AU-HAT,closed,[Duplicate] Heathlands Airport,-11.73690033,142.5769959,,OC,AU,AU-QLD,Heathlands,,HAT,
AU-HIG,closed,[Duplicate] Highbury Airport,-16.42440033,143.1459961,,OC,AU,AU-QLD,Highbury,,HIG,
AU-HIS,seaplane_base,Hayman Island Resort Seaplane Base,-20.05999947,148.8809967,,OC,AU,AU-QLD,Hayman Island,,HIS,
AU-HLV,small_airport,Helenvale Airport,-15.6857996,145.2149963,,OC,AU,AU-QLD,Helenvale,,HLV,
AU-KBD,small_airport,Kimberley Downs Airport,-17.39780045,124.3550034,,OC,AU,AU-WA,Kimberley Downs,,KBD,
AU-KGR,small_airport,Kulgera Airport,-25.84280014,133.2920074,,OC,AU,AU-NT,Kulgera,,KGR,
AU-KOH,closed,[Duplicate] Koolatah Airport,-15.88860035,142.4389954,,OC,AU,AU-QLD,Koolatah,,KOH,
AU-KYF,closed,[Duplicate] Yeelirrie Airport,-27.27689934,120.0960007,,OC,AU,AU-WA,Yeelirrie,,KYF,
AU-LIB,small_airport,Limbunya Airport,-17.23559952,129.8820038,,OC,AU,AU-NT,Limbunya,,LIB,
AU-MNW,closed,[Duplicate] Macdonald Downs Airport,-22.44400024,135.1990051,,OC,AU,AU-NT,Macdonald Downs,,MNW,
AU-MUP,closed,[Duplicate] Mulga Park Airport,-25.86000061,131.6499939,,OC,AU,AU-NT,Mulga Park,,MUP,
AU-MWY,small_airport,Miranda Downs Airport,-17.32889938,141.8860016,,OC,AU,AU-QLD,Miranda Downs,,MWY,
AU-MYO,small_airport,Camballin Airport,-18.12470055,124.2720032,,OC,AU,AU-WA,Myroodah,,MYO,
AU-NKB,closed,[Duplicate] Noonkanbah Airport,-18.49469948,124.8519974,,OC,AU,AU-WA,Noonkanbah,,NKB,
AU-OKB,small_airport,Orchid Beach Airport,-24.95940018,153.3150024,,OC,AU,AU-QLD,Orchid Beach,,OKB,
AU-PEP,small_airport,Peppimenarti Airport,-14.14420033,130.0910034,83,OC,AU,AU-NT,Peppimenarti,,PEP,YPEP
AU-RDA,small_airport,Rockhampton Downs Airport,-18.95330048,135.201004,,OC,AU,AU-NT,Rockhampton Downs,,RDA,
AU-SSK,small_airport,Sturt Creek Airport,-19.16640091,128.173996,,OC,AU,AU-WA,Sturt Creek,,SSK,
AU-SWB,small_airport,Shaw River Airport,-21.51029968,119.3619995,,OC,AU,AU-WA,Shaw River,,SWB,
AU-TPR,small_airport,Tom Price Airport,-22.74600029,117.8690033,2300,OC,AU,AU-WA,Tom Price,YTMP,TPR,
AU-TWP,small_airport,Torwood Airport,-17.36330032,143.75,,OC,AU,AU-QLD,Torwood,,TWP,
AU-WRW,closed,[Duplicate] Warrawagine Airport,-20.84420013,120.7020035,,OC,AU,AU-WA,Warrawagine,,WRW,
AU-WSY,closed,[Duplicate] Whitsunday Airstrip,-20.27611,148.755,60,OC,AU,AU-QLD,Airlie Beach,,WSY,
AU-ZVG,small_airport,Springvale Airport,-17.78689957,127.6699982,,OC,AU,AU-WA,Springvale,,ZVG,
AUI,small_airport,Aua Island Airport,-1.460555556,143.0647222,4,OC,PG,PG-MRL,Aua Island,AYND,AUI,AUA
AUJ,small_airport,Ambunti Airport,-4.215666667,142.8231667,50,OC,PG,PG-ESW,Ambunti,AYAT,AUJ,AMI
AUP,small_airport,Agaun Airport,-9.930833333,149.3856667,3200,OC,PG,PG-MBA,,AYAG,AUP,AUN
AUS,closed,Austin Robert Mueller Municipal,30.29872235,-97.69978523,,NA,US,US-TX,,KAUS,AUS,
AUV,small_airport,Aumo Airport,-5.731111111,148.4452778,450,OC,PG,PG-WBK,Aumo,AYUM,AUV,AUMO
AWE,small_airport,Alowe Airport,-0.538055556,9.450277778,600,AF,GA,GA-3,Wonga Wongue Reserve,,AWE,
AWR,closed,Awar Airport,-4.124,144.853,35,OC,PG,PG-MPM,Awar,,AWR,
AYAQ,small_airport,Kompiam Airport,-5.381666667,143.9247222,5100,OC,PG,PG-EPW,,AYAQ,KPM,KOM
AYBK,medium_airport,Buka Airport,-5.422319889,154.6730042,11,OC,PG,PG-NSB,Buka Island,AYBK,BUA,
AYBR,small_airport,Biaru Airport,-7.6693,146.7594,4900,OC,PG,PG-MPL,Biaru,AYBR,BRP,BRU
AYCH,medium_airport,Chimbu Airport,-6.024290085,144.970993,4974,OC,PG,PG-CPK,Kundiawa,AYCH,CMU,
AYDL,small_airport,Kondobol Airport,-8.5336,142.5049,132,OC,PG,PG-WPD,Kondobol,AYDL,KPF,KDB
AYDN,small_airport,Dinangat Airport,-6.1546,146.6772,5309,OC,PG,PG-MPL,Dinangat,AYDN,DNU,DIN
AYDO,small_airport,Doini Airport,-10.7009,150.7218,31,OC,PG,PG-MBA,Castori Islets,AYDO,DOI,DOI
AYDU,medium_airport,Daru Airport,-9.086759567,143.2079926,20,OC,PG,PG-WPD,Daru,AYDU,DAU,
AYEB,small_airport,Embessa Airport,-9.447,148.7628,131,OC,PG,PG-NPP,Embessa,AYEB,EMS,EMB
AYED,small_airport,Edwaki Airport,-3.883986,141.792234,190,OC,PG,PG-SAN,Yellow River Mission,AYED,XYR,EWK
AYEL,small_airport,Eliptamin Airport,-5.0412,141.6779,4825,OC,PG,PG-SAN,Eliptamin,AYEL,EPT,ELP
AYEN,small_airport,Engati Airstrip,-6.9179,146.1053,3715,OC,PG,PG-MPL,Engati,AYEN,EGA,EGT
AYEO,small_airport,Emo River Airstrip,-9.1234,148.0415,2240,OC,PG,PG-NPP,Emo Mission,AYEO,EMO,EMO
AYER,small_airport,Erume Airport,-8.2538,146.9747,6690,OC,PG,PG-CPM,Erume,AYER,ERU,EME
AYFE,small_airport,Feramin Airport,-5.208,141.6988,4655,OC,PG,PG-SAN,Feramin,AYFE,FRQ,FMN
AYFR,small_airport,Frieda River Airport,-4.610468,141.960138,217,OC,PG,PG-ESW,Frieda River,AYFR,FAQ,FRR
AYFU,small_airport,Fuma Airport,-6.3933,142.4408,466,OC,PG,PG-WPD,Fuma,AYFU,FUM,FUMA
AYGA,medium_airport,Goroka Airport,-6.081689835,145.3919983,5282,OC,PG,PG-EHG,Goronka,AYGA,GKA,
AYGF,small_airport,Guari Airport,-8.1286,146.8722,6450,OC,PG,PG-CPM,Guari,AYGF,GUG,GAI
AYGG,small_airport,Garasa Airport,-7.980713,147.213461,2539,OC,PG,PG-MPL,Au,AYGG,GRL,GSA
AYGN,medium_airport,Gurney Airport,-10.3114996,150.3339996,88,OC,PG,PG-MBA,Gurney,AYGN,GUR,
AYGP,small_airport,Gusap Airport,-6.053196,145.959047,1504,OC,PG,PG-GPK,Gusap,AYGP,GAP,GSP
